DateKey,Full_Date,Week_Day,Month_Name,CalendarYear
20220101,01/01/2022,Saturday,January,2022
20220102,01/02/2022,Sunday,January,2022
20220103,01/03/2022,Monday,January,2022
20220104,01/04/2022,Tuesday,January,2022
20220105,01/05/2022,Wednesday,January,2022
20220106,01/06/2022,Thursday,January,2022
20220107,01/07/2022,Friday,January,2022
20220108,01/08/2022,Saturday,January,2022
20220109,01/09/2022,Sunday,January,2022
20220110,01/10/2022,Monday,January,2022
20220111,01/11/2022,Tuesday,January,2022
20220112,01/12/2022,Wednesday,January,2022
20220113,1/13/2022,Thursday,January,2022
20220114,1/14/2022,Friday,January,2022
20220115,1/15/2022,Saturday,January,2022
20220116,1/16/2022,Sunday,January,2022
20220117,1/17/2022,Monday,January,2022
20220118,1/18/2022,Tuesday,January,2022
20220119,1/19/2022,Wednesday,January,2022
20220120,1/20/2022,Thursday,January,2022
20220121,1/21/2022,Friday,January,2022
20220122,1/22/2022,Saturday,January,2022
20220123,1/23/2022,Sunday,January,2022
20220124,1/24/2022,Monday,January,2022
20220125,1/25/2022,Tuesday,January,2022
20220126,1/26/2022,Wednesday,January,2022
20220127,1/27/2022,Thursday,January,2022
20220128,1/28/2022,Friday,January,2022
20220129,1/29/2022,Saturday,January,2022
20220130,1/30/2022,Sunday,January,2022
20220131,1/31/2022,Monday,January,2022
20220201,02/01/2022,Tuesday,February,2022
20220202,02/02/2022,Wednesday,February,2022
20220203,02/03/2022,Thursday,February,2022
20220204,02/04/2022,Friday,February,2022
20220205,02/05/2022,Saturday,February,2022
20220206,02/06/2022,Sunday,February,2022
20220207,02/07/2022,Monday,February,2022
20220208,02/08/2022,Tuesday,February,2022
20220209,02/09/2022,Wednesday,February,2022
20220210,02/10/2022,Thursday,February,2022
20220211,02/11/2022,Friday,February,2022
20220212,02/12/2022,Saturday,February,2022
20220213,2/13/2022,Sunday,February,2022
20220214,2/14/2022,Monday,February,2022
20220215,2/15/2022,Tuesday,February,2022
20220216,2/16/2022,Wednesday,February,2022
20220217,2/17/2022,Thursday,February,2022
20220218,2/18/2022,Friday,February,2022
20220219,2/19/2022,Saturday,February,2022
20220220,2/20/2022,Sunday,February,2022
20220221,2/21/2022,Monday,February,2022
20220222,2/22/2022,Tuesday,February,2022
20220223,2/23/2022,Wednesday,February,2022
20220224,2/24/2022,Thursday,February,2022
20220225,2/25/2022,Friday,February,2022
20220226,2/26/2022,Saturday,February,2022
20220227,2/27/2022,Sunday,February,2022
20220228,2/28/2022,Monday,February,2022
20220301,03/01/2022,Tuesday,March,2022
20220302,03/02/2022,Wednesday,March,2022
20220303,03/03/2022,Thursday,March,2022
20220304,03/04/2022,Friday,March,2022
20220305,03/05/2022,Saturday,March,2022
20220306,03/06/2022,Sunday,March,2022
20220307,03/07/2022,Monday,March,2022
20220308,03/08/2022,Tuesday,March,2022
20220309,03/09/2022,Wednesday,March,2022
20220310,03/10/2022,Thursday,March,2022
20220311,03/11/2022,Friday,March,2022
20220312,03/12/2022,Saturday,March,2022
20220313,3/13/2022,Sunday,March,2022
20220314,3/14/2022,Monday,March,2022
20220315,3/15/2022,Tuesday,March,2022
20220316,3/16/2022,Wednesday,March,2022
20220317,3/17/2022,Thursday,March,2022
20220318,3/18/2022,Friday,March,2022
20220319,3/19/2022,Saturday,March,2022
20220320,3/20/2022,Sunday,March,2022
20220321,3/21/2022,Monday,March,2022
20220322,3/22/2022,Tuesday,March,2022
20220323,3/23/2022,Wednesday,March,2022
20220324,3/24/2022,Thursday,March,2022
20220325,3/25/2022,Friday,March,2022
20220326,3/26/2022,Saturday,March,2022
20220327,3/27/2022,Sunday,March,2022
20220328,3/28/2022,Monday,March,2022
20220329,3/29/2022,Tuesday,March,2022
20220330,3/30/2022,Wednesday,March,2022
20220331,3/31/2022,Thursday,March,2022
20220401,04/01/2022,Friday,April,2022
20220402,04/02/2022,Saturday,April,2022
20220403,04/03/2022,Sunday,April,2022
20220404,04/04/2022,Monday,April,2022
20220405,04/05/2022,Tuesday,April,2022
20220406,04/06/2022,Wednesday,April,2022
20220407,04/07/2022,Thursday,April,2022
20220408,04/08/2022,Friday,April,2022
20220409,04/09/2022,Saturday,April,2022
20220410,04/10/2022,Sunday,April,2022
20220411,04/11/2022,Monday,April,2022
20220412,04/12/2022,Tuesday,April,2022
20220413,4/13/2022,Wednesday,April,2022
20220414,4/14/2022,Thursday,April,2022
20220415,4/15/2022,Friday,April,2022
20220416,4/16/2022,Saturday,April,2022
20220417,4/17/2022,Sunday,April,2022
20220418,4/18/2022,Monday,April,2022
20220419,4/19/2022,Tuesday,April,2022
20220420,4/20/2022,Wednesday,April,2022
20220421,4/21/2022,Thursday,April,2022
20220422,4/22/2022,Friday,April,2022
20220423,4/23/2022,Saturday,April,2022
20220424,4/24/2022,Sunday,April,2022
20220425,4/25/2022,Monday,April,2022
20220426,4/26/2022,Tuesday,April,2022
20220427,4/27/2022,Wednesday,April,2022
20220428,4/28/2022,Thursday,April,2022
20220429,4/29/2022,Friday,April,2022
20220430,4/30/2022,Saturday,April,2022
20220501,05/01/2022,Sunday,May,2022
20220502,05/02/2022,Monday,May,2022
20220503,05/03/2022,Tuesday,May,2022
20220504,05/04/2022,Wednesday,May,2022
20220505,05/05/2022,Thursday,May,2022
20220506,05/06/2022,Friday,May,2022
20220507,05/07/2022,Saturday,May,2022
20220508,05/08/2022,Sunday,May,2022
20220509,05/09/2022,Monday,May,2022
20220510,05/10/2022,Tuesday,May,2022
20220511,05/11/2022,Wednesday,May,2022
20220512,05/12/2022,Thursday,May,2022
20220513,5/13/2022,Friday,May,2022
20220514,5/14/2022,Saturday,May,2022
20220515,5/15/2022,Sunday,May,2022
20220516,5/16/2022,Monday,May,2022
20220517,5/17/2022,Tuesday,May,2022
20220518,5/18/2022,Wednesday,May,2022
20220519,5/19/2022,Thursday,May,2022
20220520,5/20/2022,Friday,May,2022
20220521,5/21/2022,Saturday,May,2022
20220522,5/22/2022,Sunday,May,2022
20220523,5/23/2022,Monday,May,2022
20220524,5/24/2022,Tuesday,May,2022
20220525,5/25/2022,Wednesday,May,2022
20220526,5/26/2022,Thursday,May,2022
20220527,5/27/2022,Friday,May,2022
20220528,5/28/2022,Saturday,May,2022
20220529,5/29/2022,Sunday,May,2022
20220530,5/30/2022,Monday,May,2022
20220531,5/31/2022,Tuesday,May,2022
20220601,06/01/2022,Wednesday,June,2022
20220602,06/02/2022,Thursday,June,2022
20220603,06/03/2022,Friday,June,2022
20220604,06/04/2022,Saturday,June,2022
20220605,06/05/2022,Sunday,June,2022
20220606,06/06/2022,Monday,June,2022
20220607,06/07/2022,Tuesday,June,2022
20220608,06/08/2022,Wednesday,June,2022
20220609,06/09/2022,Thursday,June,2022
20220610,06/10/2022,Friday,June,2022
20220611,06/11/2022,Saturday,June,2022
20220612,06/12/2022,Sunday,June,2022
20220613,6/13/2022,Monday,June,2022
20220614,6/14/2022,Tuesday,June,2022
20220615,6/15/2022,Wednesday,June,2022
20220616,6/16/2022,Thursday,June,2022
20220617,6/17/2022,Friday,June,2022
