ProductKey,ProductAlternateKey,EnglishProductName,ProductSubcategoryKey,Product Status
1,AR-5381,Adjustable Race,NULL,Current
2,BA-8327,Bearing Ball,NULL,Current
3,BE-2349,BB Ball Bearing,NULL,Current
4,BE-2908,Headset Ball Bearings,NULL,Current
5,BL-2036,Blade,NULL,Current
6,CA-5965,LL Crankarm,NULL,Current
7,CA-6738,ML Crankarm,NULL,Current
8,CA-7457,HL Crankarm,NULL,Current
9,CB-2903,Chainring Bolts,NULL,Current
10,CN-6137,Chainring Nut,NULL,Current
11,CR-7833,Chainring,NULL,Current
12,CR-9981,Crown Race,NULL,Current
13,CS-2812,Chain Stays,NULL,Current
14,DC-8732,Decal 1,NULL,Current
15,DC-9824,Decal 2,NULL,Current
16,DT-2377,Down Tube,NULL,Current
17,EC-M092,Mountain End Caps,NULL,Current
18,EC-R098,Road End Caps,NULL,Current
19,EC-T209,Touring End Caps,NULL,Current
20,FE-3760,Fork End,NULL,Current
21,FH-2981,Freewheel,NULL,Current
22,FW-1000,Flat Washer 1,NULL,Current
23,FW-1200,Flat Washer 6,NULL,Current
24,FW-1400,Flat Washer 2,NULL,Current
25,FW-3400,Flat Washer 9,NULL,Current
26,FW-3800,Flat Washer 4,NULL,Current
27,FW-5160,Flat Washer 3,NULL,Current
28,FW-5800,Flat Washer 8,NULL,Current
29,FW-7160,Flat Washer 5,NULL,Current
30,FW-9160,Flat Washer 7,NULL,Current
31,FC-3654,Fork Crown,NULL,Current
32,FC-3982,Front Derailleur Cage,NULL,Current
33,FL-2301,Front Derailleur Linkage,NULL,Current
34,GP-0982,Guide Pulley,NULL,Current
35,GT-0820,LL Grip Tape,NULL,Current
36,GT-1209,ML Grip Tape,NULL,Current
37,GT-2908,HL Grip Tape,NULL,Current
38,HJ-1213,Thin-Jam Hex Nut 9,NULL,Current
39,HJ-1220,Thin-Jam Hex Nut 10,NULL,Current
40,HJ-1420,Thin-Jam Hex Nut 1,NULL,Current
41,HJ-1428,Thin-Jam Hex Nut 2,NULL,Current
42,HJ-3410,Thin-Jam Hex Nut 15,NULL,Current
43,HJ-3416,Thin-Jam Hex Nut 16,NULL,Current
44,HJ-3816,Thin-Jam Hex Nut 5,NULL,Current
45,HJ-3824,Thin-Jam Hex Nut 6,NULL,Current
46,HJ-5161,Thin-Jam Hex Nut 3,NULL,Current
47,HJ-5162,Thin-Jam Hex Nut 4,NULL,Current
48,HJ-5811,Thin-Jam Hex Nut 13,NULL,Current
49,HJ-5818,Thin-Jam Hex Nut 14,NULL,Current
50,HJ-7161,Thin-Jam Hex Nut 7,NULL,Current
51,HJ-7162,Thin-Jam Hex Nut 8,NULL,Current
52,HJ-9080,Thin-Jam Hex Nut 12,NULL,Current
53,HJ-9161,Thin-Jam Hex Nut 11,NULL,Current
54,HN-1024,Hex Nut 5,NULL,Current
55,HN-1032,Hex Nut 6,NULL,Current
56,HN-1213,Hex Nut 16,NULL,Current
57,HN-1220,Hex Nut 17,NULL,Current
58,HN-1224,Hex Nut 7,NULL,Current
59,HN-1420,Hex Nut 8,NULL,Current
60,HN-1428,Hex Nut 9,NULL,Current
61,HN-3410,Hex Nut 22,NULL,Current
62,HN-3416,Hex Nut 23,NULL,Current
63,HN-3816,Hex Nut 12,NULL,Current
64,HN-3824,Hex Nut 13,NULL,Current
65,HN-4402,Hex Nut 1,NULL,Current
66,HN-5161,Hex Nut 10,NULL,Current
